,port,lon,lat,country
79,Carolinas,-117.2833156,33.5692679,United States of America
80,Cartagena,-75.4794257,10.3910485,Colombia
81,Casamance,-16.099291,12.6187752,Senegal
82,Catuamo and Maria Farinha,-34.89166667,-7.595611111,Brazil
83,Cayenne,-52.3134531,4.92242,French Guiana
84,Cayes (Les),-73.7536695,18.2042851,Haiti
85,Charleston,-79.9310512,32.7764749,United States of America
86,Chester,-2.893075,53.193392,United Kingdom
87,Congo North,15.827659,-0.228021,Republic of the Congo
88,Congo River,16.1816196,-2.420088,Republic of the Congo
89,Copacabana,-43.1868592,-22.9697777,Brazil
90,Copenhagen,12.5683371,55.6760968,Denmark
91,Corisco,9.3173746,0.917262,Equatorial Guinea
92,Cork,-8.4863157,51.8968917,Ireland
93,Costa da Mina,-1.35,5.0833,Ghana
94,Cowes,-1.300533,50.762785,United Kingdom
95,Cuba,-77.781167,21.521757,Cuba
96,"Cuba, south coast",-77.781167,21.521757,Cuba
97,"Cuba, west coast",-77.781167,21.521757,Cuba
98,Cul-de-Sac,-72.3333,18.5333,Haiti
99,Cumingsberg,-57.5167,6.25,Guyana
100,CuraÃ§ao,-68.99002,12.16957,Curacao
101,Danish Gold Coast,-0.1825,5.546944444,Ghana
102,Danish West Indies,-64.8333,18.3333,US Virgin Islands
103,Dartmouth,-3.579,50.351,United Kingdom
104,Demerara,-58.4085214,5.7947829,Guyana
105,Dieppe,1.077483,49.922992,France
106,Dois Rios,-44.1933036,-23.179713,Brazil
107,Dominica,-61.370976,15.414999,Dominica
108,Dominica or Jamaica,-61.370976,15.414999,Dominica
109,Dordrecht,4.6900929,51.8132979,Netherlands
110,Dunkerque,2.3767763,51.0343684,France
111,"Dutch Guianas, colony unspecified",-55.15,5.825277778,Guyana
112,Eastern New Jersey,-92.4695904,47.486598,United States of America
113,Elmina,-1.3421032,5.1053378,Ghana
114,Emden,7.2060095,53.3594029,Germany
115,Epe,3.9776389,6.5945951,Nigeria
116,Essequibo,-58.3032562,6.9147547,Guyana
117,Exeter,-3.533899,50.718412,United Kingdom
118,Falmouth (Jam.),-777.661,18.49,Jamaica
119,Fort Dauphin,46.9853688,-25.0225309,Madagascar
120,Fort-Royale,-61.08333333,14.6,Martinique
121,France,2.213749,46.227638,France
122,French Caribbean,-61.08333333,14.6,Martinique
123,"French Caribbean, colony unspecified",-61.08333333,14.6,Martinique
124,Gabon,11.609444,-0.803689,Gabon
125,Gallinhas,-13.2344,8.4844,Sierra Leone
126,Gambia,-15.310139,13.443182,Gambia
127,Georgia,-82.9000751,32.1656221,United States of America
128,Gibraltar,-5.353585,36.140751,Spain
129,Glasgow,-4.251806,55.864237,United Kingdom
130,"Gold Coast, Fr. definition",-0.1825,5.546944444,Ghana
131,"Gold Coast, port unspecified",-0.1825,5.546944444,Ghana
132,GorÃ©e,-17.3989282,14.6678596,Senegal
133,Great Britain,-3.435973,55.378051,United Kingdom
134,Greenock,-4.771983,55.956476,United Kingdom
135,Grenada,-61.679,12.1165,Grenada
136,Groningen,6.5665018,53.2193835,Netherlands
137,Guadaloupe,-61.58333333,16.25,Guadeloupe
138,Guanimar,-82.6523952,22.6910818,Cuba
139,Guiana,-58.93018,4.860416,Guyana
140,Hampton,-76.3452218,37.0298687,United States of America
141,Havana,-82.345189,23.0540698,Cuba
142,Hellevoetsluis,4.13181,51.8318632,Netherlands
143,Hispaniola,-71.5723953,19.0018663,Dominican Republic
144,Honduras,-86.241905,15.199999,Honduras
145,Honfleur,0.233262,49.418762,France
146,Ile de France,2.6370411,48.8499198,France
147,Iles de Los,-13.7607783,9.500819,Sierra Leone
148,Ilha de ItamaricÂ ,-34.8258,7.7478,Brazil
149,Ilha de Marambaia,-47.3181156,-23.1845343,Brazil
150,Ilha de PaquetÃ¡Â ,-43.1080757,-22.7660822,Brazil
151,Ilha Grande,-41.8189517,-2.8581081,Brazil
152,Inhambane,35.3959879,-23.8879561,Mozambique
153,Isla de Pinas,-82.85,21.75,Cuba
154,Jacmel,-72.5263984,18.2430063,Haiti
155,Jacquin,2.15,6.65,Benin
156,Jamaica,-77.297508,18.109581,Jamaica
157,Jamaica or St. Kitts,-77.297508,18.109581,Jamaica
158,JÃ©rÃ©mie,-74.1181234,18.6389698,Haiti
159,Kingston,-76.8,17.9833,Jamaica
160,Kingston (Demerera),-58.1260851,6.7898479,Guyana
161,"Kingston, Savannah, Maryland",-76.6412712,39.0457549,United States of America
162,Kormantine,-1.090278,5.2025,Ghana
163,La Balise,-89.1072,29.1225,USA
164,La Guiara,-66.9213628,10.587508,Venezuela
165,La Rochelle,-1.151139,46.160329,France
166,"Lagos, Onim",3.3792057,6.5243793,Nigeria
167,Lancaster,-2.801,54.047,United Kingdom
168,Lay,-1.770792,12.52262,Burkina Faso
169,Le Havre,0.107929,49.49437,France
170,LÃ©ogane,-72.623987,18.5128379,Haiti
171,Limerick,-8.6304975,52.6680204,Ireland
172,Lisbon,-9.1393366,38.7222524,Portugal
173,Liverpool,-2.9915726,53.4083714,United Kingdom
174,Loango,15.2778185,-4.3423149,Democratic Republic of the Congo
175,London,-0.1277583,51.5073509,United Kingdom
176,Lorient,-3.3702449,47.7482524,France
177,Louisiana,-91.9623327,30.9842977,United States of America
178,Lower James River,-78.6594259,37.5890477,United States of America
179,Lucea,-78.1763937,18.4504186,Jamaica
180,Lyme,-2.94,50.725,United Kingdom
181,MacaÃ©,-41.7827461,-22.3836705,Brazil
182,Madagascar,46.869107,-18.766947,Madagascar
183,Madeira,-16.9594723,32.7607074,Portugal
184,"Magari, Manzanillo",-77.1086,20.3397,Brazil
185,Malembo,34.8168791,-14.2292361,Malawi
186,Mangaratiba,-44.0413146,-22.9598984,Brazil
187,MaranhÃ£o,-45.2744159,-4.9609498,Brazil
188,Margarita,-63.9113296,10.9970723,Venezuela
189,Mariel,-82.7535929,22.9874431,Cuba
190,Marseille,5.36978,43.296482,France
191,Martha Brae,-77.6600552,18.4704799,Jamaica
192,Martinique,-61.024174,14.641528,France
193,Maryland,-76.6412712,39.0457549,United States of America
194,Matanzas,-81.3399414,22.5767123,Cuba
195,Mississippi,-89.3985283,32.3546679,United States of America
196,Mobile,-88.0398912,30.6953657,United States of America
197,Moerdijk,4.6273499,51.7018167,Netherlands
198,Monte Christi,-71.6406361,19.8473452,Dominican Republic
199,Montego Bay,-77.8938895,18.4762228,Jamaica
200,Montevideo,-56.1645314,-34.9011127,Uruguay
201,Montrose,-2.466115,56.706922,United Kingdom
202,Montserrat,-62.187366,16.742498,Montserrat
203,Mozambique,35.529562,-18.665695,Mozambique
204,Mpinda,26.237695,-29.1391449,South Africa
205,Nantes,-1.553621,47.218371,France
206,Nassau,-77.355413,25.0479835,The Bahamas
207,Netherlands,5.291266,52.132633,Netherlands
208,Nevis,-62.5796026,17.1553558,Saint Kitts and Nevis
209,New Bedford,-70.934205,41.6362152,United States of America
210,New Calabar,8.3278185,4.9588185,Nigeria
211,New Orleans,-90.0715323,29.9510658,United States of America
212,New Providence,-74.4015405,40.6984348,United States of America
213,New York,-74.0059413,40.7127837,USA
214,Newport,-71.3128285,41.4901024,United States of America
215,Norfolk,-76.2858726,36.8507689,United States of America
216,North Carolina,-79.0192997,35.7595731,United States of America
217,North Potomac,-77.2347674,39.097769,United States of America
218,Nova Zeelandia (Wild Coast),-58.516667,6.783333,Guyana
219,Odessa,30.7233095,46.482526,Ukraine
220,"Other Dutch Americas, colony unspecified",-55.15,5.825277778,Guyana
221,Oxford,-1.2577263,51.7520209,United Kingdom
222,Oyapock,-51.80111111,3.888888889,French Guiana
223,ParÃ¡,-54.9306152,-1.9981271,Brazil
224,ParaÃ_ba,-36.7819505,-7.2399609,Brazil
225,Paramaribo,-55.2038278,5.8520355,Suriname
226,ParanaguÃ¡,-48.5229975,-25.5165725,Brazil
227,Patuxent,-76.747688,38.539967,United States of America
228,Pernambuco,-36.954107,-8.8137173,Brazil
229,Petit-GoÃ¢ve,-72.8545019,18.4311407,Haiti
230,Philadelphia,-75.1652215,39.9525839,United States of America
231,Pillau,19.9228947,54.6591222,Russia
232,Piscataqua,-70.7911832,43.1054871,United States of America
233,Plymouth,-4.1426565,50.3754565,United Kingdom
234,Pointe-Ã -Pitre,-61.5340424,16.2376869,Guadeloupe
235,Ponta Negro,-35.1711,-4.7691623,Republic of the Congo
236,Poole,-1.987248,50.71505,United Kingdom
237,Popo,17.3910321,-3.3239139,Democratic Republic of the Congo
238,Port Louis,57.502332,-20.1668958,Mauritius
239,Port Maria,-76.8922729,18.3653596,Jamaica
240,Port Royal,-76.8411038,17.9367669,Jamaica
241,Port-au-Prince,-72.3074326,18.594395,Haiti
242,Port-de-Paix,-72.8308692,19.9348887,Haiti
243,Porto Novo,2.6288523,6.4968574,Benin
244,Portobelo,-79.6530174,9.5488889,Panama
245,Portsmouth (NH),-70.7625532,43.0717552,United States of America
246,Portuguese Guinea,-77.0459746,-12.0575359,Peru
247,Poulton,-2.986281,53.843964,United Kingdom
248,Princes Island,6.7333,0.33333,Sao Tome and Principe
249,Princes Island and SÃ£o TomÃ©,6.7333,0.33333,Sao Tome and Principe
250,Providence,-71.4128343,41.8239891,United States of America
251,Puerto Padre,-76.606611,21.1878548,Cuba
252,Puerto Rico,-66.590149,18.220833,Puerto Rico
253,Quilimane,36.9218584,-17.8502636,Mozambique
254,Rappahannock,-76.675922,37.7989119,USA
255,Rhode Island,-71.4774291,41.5800945,United States of America
256,Rio de Janeiro,-43.1728965,-22.9068467,Brazil
257,Rio de Janeiro province,-43.2093973,-22.9139476,Brazil
258,"Rio de Janeiro, Sao Paulo, Santa Catarina",-43.0856703,-22.8344981,Brazil
259,Rio de la Hacha,11.54416667,11.54416667,Colombia
260,Rio Grande do Sul Province,-51.2176986,-30.0346316,Brazil
261,Rio Pongo,-14.03333333,10.16666667,Guinea
262,Rio Real,-37.9335881,-11.4818089,Brazil
263,Rio SÃ£o Jeso,-49.38111111,-20.80805556,Brazil
264,River Brass,6.224294,4.317373,Nigeria
265,River del Rey,8.65,4.733333333,Cameroon
266,Rochefort,-0.961697,45.936698,France
267,Rotterdam,4.4777325,51.9244201,Netherlands
268,Sagua,-82.3730957,23.0570433,Cuba
269,Saint Ann's Bay,-77.1973997,18.4329473,Jamaica
270,Saint-Domingue,-69.9312117,18.4860575,Dominican Republic
271,Saint-Malo,-2.025674,48.649337,France
272,Saint-Marc,-72.6949373,19.104927,Haiti
273,Saint-Pierre,-61.1758,14.7417,Martinique
274,Santa Catarina,-50.2188556,-27.2423392,Brazil
275,Santiago de Cuba,-75.8301537,20.01693,Cuba
276,Santo Domingo,-69.9312117,18.4860575,Dominican Republic
277,Santos,-46.3288865,-23.9678823,Brazil
278,SÃ£o SebastiÃ£o,-45.4016534,-23.8063468,Brazil
279,SÃ£o TomÃ©,6.733343,0.3301924,Sao Tome and Principe
280,SÃ£o TomÃ© or Princes Island,6.733343,0.3301924,Sao Tome and Principe
281,Savanna la Mar,-78.1393397,18.2291677,Jamaica
282,Savannah,-81.0998342,32.0835407,United States of America
283,Senegal,-14.452362,14.497401,Senegal
284,"Senegambia and offshore Atlantic, port unspecified",-16.6,13.46666667,The Gambia
285,Sherbro,-12.6675575,7.5554328,Sierra Leone
286,Shoreham,-0.2715558,50.8342086,United Kingdom
287,Sierra Leone,-11.779889,8.460555,Sierra Leone
288,"Sierra Leone, port unspecified",-11.779889,8.460555,Sierra Leone
289,South Carolina,-81.1637245,33.836081,United States of America
290,South Potomac,-77.2085914,39.0181651,United States of America
291,Southeast Brazil,-51.92528,-14.235004,Brazil
292,Spain,-3.74922,40.463667,Spain
293,Spanish Americas,-77.781167,21.521757,Cuba
294,Spanish Central America,-86.241905,15.199999,Honduras
295,Spanish West Indies,-69.9312117,18.4860575,Dominican Republic
296,"Spanish West Indies, colony unspecified",-69.9312117,18.4860575,Dominican Republic
297,St. Augustine,-81.3124341,29.9012437,United States of America
298,St. BarthÃ©lemy,-62.833333,17.9,Saint Barthelemy
299,St. Croix,-64.858516,17.7058446,United States Virgin Islands
300,St. Eustatius,-62.973555,17.4890306,Netherlands
301,St. Kitts,-62.6667,17.25,Saint Kitts and Nevis
302,St. Lucia,-60.978893,13.909444,Saint Lucia
303,St. Maarten,-63.05483,18.04248,Sint Maarten
304,St. Paul de Loanda,13.234444,"-8.838333,",Angola
305,St. Thomas,-64.9534009,18.335361,United States Virgin Islands
306,St. Vincent,-61.2,13.25,Saint Vincent and the Grenadines
307,Stabroek, -58.159969,6.807041,Guyana
308,Stockton,-1.32,54.57,United Kingdom
309,Surinam,-56.027783,3.919305,Suriname
310,Taipu,-35.5975708,-5.6234602,Brazil
311,Texel,4.808668,53.0995532,Netherlands
312,Tobago,-60.667,11.25,Republic of Trinidad and Tobago
313,Tortola,-64.6332782,18.4334704,British Virgin Islands
314,Tortuga,-72.7924612,20.0548685,Haiti
315,Trinidad, -61.248611,10.460556,Republic of Trinidad and Tobago
316,Trinidad de Cuba,-79.9808143,21.7960343,Cuba
317,Ubatuba,-45.0838481,-23.4336578,Brazil
318,undefined 074,-4.4482089,36.6931146,Spain
319,undefined 405,-4.4482089,36.6931146,Spain
320,Upper James River,-78.6594259,37.5890477,United States of America
321,USA,-95.712891,37.09024,United States of America
322,"USA, location unspecified",-95.712891,37.09024,United States of America
323,Vannes,-2.760847,47.658236,France
324,Vera Cruz,-96.153333,19.190278,Mexico
325,Virginia,-78.6568942,37.4315734,United States of America
326,VitÃ_ria,-40.2957768,-20.2976178,Brazil
327,Vlissingen,3.5709125,51.4536672,Netherlands
328,Warren,-71.2825,41.7303,United States of America
329,"West Central Africa and St. Helena, port unspecified",-5.716667,-15.95,United Kingdom
330,West Indies,-78.6568942,21.4691137,Cuba
331,Whitehaven,-3.589233,54.549699,United Kingdom
332,Whydah,28.3718096,-26.1156382,South Africa
333,Windward + Ivory + Gold +  Benin,-3.470278,5.161389,Cote d'Ivoire
334,Windward Coast (Nunez - Assini),-3.470278,5.161389,Cote d'Ivoire
335,"Windward Coast, port unspecified",-3.470278,5.161389,Cote d'Ivoire
336,York River,-76.5603828,37.2830504,United States of America
337,Zanzibar,39.202641,-6.165917,United Republic of Tanzania
338,Zeeland,3.8496815,51.4940309,Netherlands
